,sepal.length,sepal.width,petal.length,petal.width,predict
49,4.9,2.5,4.5,1.7,1.0
50,5.7,2.5,5.0,2.0,1.0
51,5.8,2.8,5.1,2.4,1.0
52,6.0,2.2,5.0,1.5,1.0
53,5.6,2.8,4.9,2.0,1.0
54,6.3,2.7,4.9,1.8,1.0
55,6.2,2.8,4.8,1.8,1.0
56,6.1,3.0,4.9,1.8,1.0
57,6.3,2.8,5.1,1.5,1.0
58,6.0,3.0,4.8,1.8,1.0
59,5.8,2.7,5.1,1.9,1.0
60,6.3,2.5,5.0,1.9,1.0
61,5.9,3.0,5.1,1.8,1.0
62,6.9,3.1,4.9,1.5,2.0
63,6.7,3.0,5.0,1.7,2.0
64,6.3,3.3,6.0,2.5,2.0
65,7.1,3.0,5.9,2.1,2.0
66,6.3,2.9,5.6,1.8,2.0
67,6.5,3.0,5.8,2.2,2.0
68,7.6,3.0,6.6,2.1,2.0
69,7.3,2.9,6.3,1.8,2.0
70,6.7,2.5,5.8,1.8,2.0
71,7.2,3.6,6.1,2.5,2.0
72,6.5,3.2,5.1,2.0,2.0
73,6.4,2.7,5.3,1.9,2.0
74,6.8,3.0,5.5,2.1,2.0
75,6.4,3.2,5.3,2.3,2.0
76,6.5,3.0,5.5,1.8,2.0
77,7.7,3.8,6.7,2.2,2.0
78,7.7,2.6,6.9,2.3,2.0
79,6.9,3.2,5.7,2.3,2.0
80,7.7,2.8,6.7,2.0,2.0
81,6.7,3.3,5.7,2.1,2.0
82,7.2,3.2,6.0,1.8,2.0
83,6.4,2.8,5.6,2.1,2.0
84,7.2,3.0,5.8,1.6,2.0
85,7.4,2.8,6.1,1.9,2.0
86,7.9,3.8,6.4,2.0,2.0
87,6.4,2.8,5.6,2.2,2.0
88,6.1,2.6,5.6,1.4,2.0
89,7.7,3.0,6.1,2.3,2.0
90,6.3,3.4,5.6,2.4,2.0
91,6.4,3.1,5.5,1.8,2.0
92,6.9,3.1,5.4,2.1,2.0
93,6.7,3.1,5.6,2.4,2.0
94,6.9,3.1,5.1,2.3,2.0
95,6.8,3.2,5.9,2.3,2.0
96,6.7,3.3,5.7,2.5,2.0
97,6.7,3.0,5.2,2.3,2.0
98,6.5,3.0,5.2,2.0,2.0
99,6.2,3.4,5.4,2.3,2.0
100,5.1,3.5,1.4,0.2,3.0
101,4.9,3.0,1.4,0.2,3.0
102,4.7,3.2,1.3,0.2,3.0
103,4.6,3.1,1.5,0.2,3.0
104,5.0,3.6,1.4,0.2,3.0
105,5.4,3.9,1.7,0.4,3.0
106,4.6,3.4,1.4,0.3,3.0
107,5.0,3.4,1.5,0.2,3.0
108,4.4,2.9,1.4,0.2,3.0
109,4.9,3.1,1.5,0.1,3.0
110,5.4,3.7,1.5,0.2,3.0
111,4.8,3.4,1.6,0.2,3.0
112,4.8,3.0,1.4,0.1,3.0
113,4.3,3.0,1.1,0.1,3.0
114,5.8,4.0,1.2,0.2,3.0
115,5.7,4.4,1.5,0.4,3.0
116,5.4,3.9,1.3,0.4,3.0
117,5.1,3.5,1.4,0.3,3.0
118,5.7,3.8,1.7,0.3,3.0
119,5.1,3.8,1.5,0.3,3.0
120,5.4,3.4,1.7,0.2,3.0
121,5.1,3.7,1.5,0.4,3.0
122,4.6,3.6,1.0,0.2,3.0
123,5.1,3.3,1.7,0.5,3.0
124,4.8,3.4,1.9,0.2,3.0
125,5.0,3.0,1.6,0.2,3.0
126,5.0,3.4,1.6,0.4,3.0
127,5.2,3.5,1.5,0.2,3.0
128,5.2,3.4,1.4,0.2,3.0
129,4.7,3.2,1.6,0.2,3.0
130,4.8,3.1,1.6,0.2,3.0
131,5.4,3.4,1.5,0.4,3.0
132,5.2,4.1,1.5,0.1,3.0
133,5.5,4.2,1.4,0.2,3.0
134,4.9,3.1,1.5,0.2,3.0
135,5.0,3.2,1.2,0.2,3.0
136,5.5,3.5,1.3,0.2,3.0
137,4.9,3.6,1.4,0.1,3.0
138,4.4,3.0,1.3,0.2,3.0
139,5.1,3.4,1.5,0.2,3.0
140,5.0,3.5,1.3,0.3,3.0
141,4.5,2.3,1.3,0.3,3.0
142,4.4,3.2,1.3,0.2,3.0
143,5.0,3.5,1.6,0.6,3.0
144,5.1,3.8,1.9,0.4,3.0
145,4.8,3.0,1.4,0.3,3.0
146,5.1,3.8,1.6,0.2,3.0
147,4.6,3.2,1.4,0.2,3.0
148,5.3,3.7,1.5,0.2,3.0
149,5.0,3.3,1.4,0.2,3.0
